Name,scorecard id,4 Year Graduation rate,6 Year Graduation rate,8 Year Graduation rate,"Latitude, Longitude",City,State,alias,Gender Restricted,URL,NPC URL,Percent Male,Percent Female,HBCU,Student to Faculty Ratio,% American Indian and Alaska Native,% Native Hawaiian and Pacific Islander,% Asian,% Black,% White,% Unknown Race,% Hispanic,% Multiracial,% International,Faculty % American Indian and Alaska Native,Faculty % Native Hawaiian and Pacific Islander,Faculty % Asian,Faculty % Black,Faculty % White,Faculty % Unknown Race,Faculty % Hispanic,nonresident,Faculty % Multiracial,% Students in Legal,% Students in Health,% Students in English,% Students in History,% Students in Library,% Students in Computer,% Students in Language,% Students in Military,% Students in Education,% Students in Resources,% Students in Biological,% Students in Humanities,% Students in Psychology,% Students in Agriculture,% Students in Engineering,% Students in Mathematics,% Students in Architecture,% Students in Construction,% Students in Communication,% Students in Social Science,% Students in Transportation,% Students in Multidiscipline,% Students in Physical Science,% Students in Personal Culinary,% Students in Visual Performing,% Students in Business Marketing,% Students in Science Technology,% Students in Philosophy Religious,% Students in Precision Production,% Students in Engineering Technology,% Students in Ethnic Cultural Gender,% Students in Family Consumer Science,% Students in Parks Recreation Fitness,% Students in Security Law Enforcement,% Students in Communications Technology,% Students in Mechanic Repair Technology,% Students in Theology Religious Vocation,% Students in Public Administration Social Service,Undergraduate Enrollment,Graduate Enrollment,Total Enrollment,in state tuition,out of state tuition,Net Price,Room and Board,Student Earnings 10 Years after College,Religious Affiliation,Location Type,US News Ranking,US News Business Ranking,US News Computer Science Ranking,ACT Math 25th Percentile,ACT Math 50th Percentile,ACT Math 75th Percentile,ACT Verbal 25th Percentile,ACT Verbal 50th Percentile,ACT Verbal 75th Percentile,ACT Score 25th Percentile,ACT Score 50th Percentile,ACT Score 75th Percentile,SAT Math 25th Percentile,SAT Math 50th Percentile,SAT Math 75th Percentile,SAT Verbal 25th Percentile,SAT Verbal 50th Percentile,SAT Verbal 75th Percentile,SAT Equivalent Average Score,Top 3 Majors by Percentage,Top 5 Majors by Percentage,Best Colleges for Engineering,Best Colleges with No Application Fee,Top Public Universities,Hardest Colleges to Get Into,Best Small Colleges,Best College Dorms,Colleges with the Best Professors,Safest College Campuses,Colleges with the Best Academics,Most Diverse Colleges,Best College Food,Best Test Optional Colleges,Best Colleges,Best Colleges for Student Athletes,Best Value Colleges,Most Liberal Colleges,Best Colleges for Accounting and Finance,Best Colleges for Business,Best Colleges for Communications,Top Private Universities,Best College Athletics,Best Colleges that Accept the Common App,Top Party Schools,Colleges with the Best Student Life,Best Christian Colleges,Best Colleges for Music,Most Conservative Colleges,Best Colleges for Religious Studies,Best Colleges for Nursing,Best Colleges for Education,Best College Locations,Best Colleges for Psychology,Best Colleges for English,Best Colleges for Math,Best College Campuses,Best Colleges for Biology,Best Colleges for Information Technology,Best Colleges for Public Policy,Best Greek Life Colleges,Best Colleges for History,Best Catholic Colleges,Best Colleges for Kinesiology and Physical Therapy,Best Colleges for International Relations,Best Colleges for Computer Science,Best Colleges for Chemistry,Best Colleges for Physics,Best Colleges for Environmental Science,Best Colleges for Criminal Justice,Best Liberal Arts Colleges,Best Online Colleges,Best Colleges for Agricultural Sciences,Best Colleges for Public Health,Best Big Colleges,Best Colleges for Anthropology and Sociology,Best Colleges for Design,Best Colleges for Economics,Best Colleges for Political Science,Best Colleges for Sports Management,Best Colleges for Film and Photography,Best Colleges for Performing Arts,Best Colleges for Philosophy,Best Colleges for Art,Best Women's Colleges,Best Hispanic-Serving Institutions,Best Colleges for Architecture,Best Colleges for Global Studies,Best Colleges for Culinary Arts,Best HBCU Schools,Closest Major Airport Code,Drive Time to Airport,Distance to Airport (Miles by road),Total Minutes to Airport,Acceptance Rate,% Jewish,EA,ED,ED2,% Received Merit (Freshmen w/o need),Average Award (Freshmen w/o need),ED Deadline,ED2 Deadline,ED/ED2 Notification Dates,Source URL (may have more useful info),Common Data Set URL
James Madison University,232423,65.30%,81.75%,84.98%,"38.436311, -78.870484",Harrisonburg,VA,JMU,,www.jmu.edu/,www.jmu.edu/financialaid/calculators/index.shtml,42.14%,57.86%,,16 to 1,0.14%,0.12%,4.78%,4.66%,75.38%,1.60%,7.30%,4.94%,1.07%,0.19%,0%,5.90%,4.28%,78.40%,4.47%,3.43%,2.09%,1.24%,1.82%,19.87%,1.93%,1.28%,0%,5.61%,0.41%,0%,0.08%,0%,5.32%,5.43%,4.89%,0%,1.57%,1.16%,0%,0%,8.64%,7.75%,0%,3.00%,1.80%,0%,5.30%,14.96%,0%,0.27%,0%,0%,0%,0.52%,6.05%,0%,0%,0%,0%,2.32%,19743,2096,21839,"$30,988 ","$30,988 ",22431,11550,65172,,City: Small (pop. < 100k),151,,,,,,,,,24,27,29,560,605,650,580,620,660,1233,Health: 19.87% | Business Marketing: 14.96% | Communication: 8.64%,Health: 19.87% | Business Marketing: 14.96% | Communication: 8.64% | Social Science: 7.75% | Parks Recreation Fitness: 6.05%,,,66,,,178,553,777,417,,8,160,171,121,93,,86,274,100,,36,136,35,22,,105,,,112,179,501,314,,189,7,252,,170,31,,,272,109,155,206,,216,,,,,39,60,,,,274,78,,156,,226,,,,,,,ROA,1 hour 41 mins,104 mi,101,0.8625,2.20%,Y,,,6%,"$7,345 ",,,,,https://www.jmu.edu/oir/research/cds/cds2022/cds-2022-2023.pdf
University of San Diego,122436,66.67%,80.02%,82.23%,"32.770816, -117.192073",San Diego,CA,USD,,www.sandiego.edu/,www.sandiego.edu/admissions/undergraduate/tuition-financial-aid/net-price-calculator.php,43.85%,56.15%,,13 to 1,0.29%,0.21%,7.77%,3.39%,48.60%,2.82%,23.37%,7.34%,6.21%,0.40%,0%,10.22%,4.81%,67.54%,1.40%,11.82%,2.40%,1.40%,0%,0%,1.57%,1.23%,0%,2.60%,0.27%,0%,0%,2.80%,11.90%,1.30%,6.36%,0%,8.69%,1.16%,1.71%,0%,6.43%,13.00%,0%,0%,1.30%,0%,2.12%,35.98%,0%,1.23%,0%,0%,0.34%,0%,0%,0%,0%,0%,0%,0%,5601,3339,8940,"$71,799 ","$71,799 ",28071,16246,78234,Roman Catholic,City: Large (pop. > 250k),97,,94,,,,,,,,,,,,,,,,,Business Marketing: 35.98% | Social Science: 13.0% | Biological: 11.9%,Business Marketing: 35.98% | Social Science: 13.0% | Biological: 11.9% | Engineering: 8.69% | Communication: 6.43%,101,,,241,,341,223,776,182,280,9,135,146,192,360,,25,102,99,93,376,118,488,155,,,,,,,89,126,127,204,9,108,,,,112,9,,101,196,177,164,90,,,,,,,126,,170,107,,,120,98,143,,,,,,,SAN,11 mins,4.2 mi,11,0.527,,,,,53%,"$19,665 ",,,,,https://www.sandiego.edu/facts/documents/cds/CDS_2022-23.pdf
Northern Arizona University,105330,45.14%,59.00%,58.29%,"35.188449, -111.653724",Flagstaff,AZ,NAU,,https://nau.edu/,https://www7.nau.edu/finaid/NetPriceCalculator/,36.46%,63.54%,,21 to 1,2.83%,0.27%,2.18%,3.09%,56.02%,2.19%,26.08%,5.67%,1.67%,2.30%,0.30%,5.89%,1.80%,75.92%,4.10%,6.59%,1.90%,1.20%,0.10%,15.20%,2.10%,0.44%,0%,1.61%,0.74%,0%,8.35%,3.26%,7.13%,7.34%,5.11%,0%,4.06%,0.65%,0%,0%,5.74%,6.56%,0%,1.60%,1.69%,0%,2.69%,18.55%,1.08%,0.18%,0%,0%,0.10%,0%,2.72%,0.30%,0%,0%,0%,2.69%,23772,4549,28321,"$29,998 ","$29,998 ",14636,11338,50118,,City: Small (pop. < 100k),317,,234,,,,,,,,,,,,,,,,,Business Marketing: 18.55% | Health: 15.2% | Education: 8.35%,Business Marketing: 18.55% | Health: 15.2% | Education: 8.35% | Humanities: 7.34% | Biological: 7.13%,,,200,,,,415,812,630,243,377,466,496,421,834,,241,,,,346,,279,260,,,,,,168,350,,,,186,363,,,270,,,,,,225,,150,,,,,,100,,,,,,,,,,,67,,,,,PHX,2 hours 15 mins,148 mi,135,0.7835,,,,,89%,"$7,900 ",,,,,https://in.nau.edu/wp-content/uploads/sites/129/2023/02/CDS_2022-2023_20230705.pdf
University of Arkansas,106397,51.93%,69.68%,68.19%,"36.070009, -94.176981",Fayetteville,AR,Arkansas,,https://www.uark.edu/,https://finaid.uark.edu/aid-calculator.php,43.92%,56.08%,,19 to 1,0.77%,0.12%,2.79%,4.46%,73.87%,1.11%,10.39%,4.67%,1.80%,0.59%,0%,10.04%,3.47%,71.44%,4.28%,4.72%,4.43%,1.03%,0%,9.72%,1.19%,1.23%,0%,2.11%,0.85%,0%,2.64%,0.53%,4.70%,0%,4.00%,4.53%,10.84%,0.47%,0.91%,0%,7.31%,3.70%,0%,0.66%,1.85%,0%,3.19%,27.26%,0%,0.17%,0%,0%,0%,3.98%,5.06%,1.76%,0%,0%,0%,1.34%,24001,4803,28804,"$43,794 ","$26,978 ",14998,11942,54417,,City: Small (pop. < 100k),331,,234,20,24,27,21,25,29,21,25,28,520,560,600,530,575,620,1188,Business Marketing: 27.26% | Engineering: 10.84% | Health: 9.72%,Business Marketing: 27.26% | Engineering: 10.84% | Health: 9.72% | Communication: 7.31% | Parks Recreation Fitness: 5.06%,109,,62,689,,479,128,,224,731,122,154,165,111,401,,47,133,146,,66,,60,64,,,46,,114,94,152,194,327,249,61,216,,,54,293,,,,199,153,,180,181,,,25,,57,137,132,197,139,90,,,,284,,,,,,,FSM,58 mins,59.0 mi,58,0.8267,0.30%,Y,,,35%,"$4,607 ",,,,,
Arkansas State University,106458,37.78%,53.84%,53.08%,"35.842388, -90.679988",Jonesboro,AR,A-State,,www.astate.edu/,www.astate.edu/a/finaid/tuition-fees/net-price-calculator/index.dot,37.28%,62.72%,,14 to 1,0.28%,0.07%,1.02%,14.00%,71.13%,0.78%,4.44%,3.21%,5.08%,0.59%,0.20%,8.25%,4.91%,73.48%,5.89%,2.75%,3.14%,0.79%,0%,19.36%,0.71%,0.51%,0%,1.66%,0.47%,0%,5.61%,0.51%,2.81%,26.23%,3.71%,3.67%,2.33%,0.47%,0%,0%,7.39%,4.27%,0%,0.47%,0.51%,0%,2.02%,10.71%,0%,0.04%,0%,0.55%,0%,0%,3.75%,0.51%,0%,0%,0%,1.70%,7478,4622,12100,12698,12698,13430,9640,39824,,City: Small (pop. < 100k),317,,,18,22,25,21,25,28,20,23,26,520,565,610,510,550,590,1149,Humanities: 26.23% | Health: 19.36% | Business Marketing: 10.71%,Humanities: 26.23% | Health: 19.36% | Business Marketing: 10.71% | Communication: 7.39% | Education: 5.61%,,,175,496,,455,567,,424,701,92,420,447,227,755,,337,,,,156,,343,370,,,34,,215,,662,,,,285,,,236,217,,,207,,,,,,163,,,,,,,,,,,,,,,,,,,,,MEM,1 hour 21 mins,79.7 mi,81,0.6329,,,,,,,,,,,https://www.astate.edu/a/irp/files/cds/CDS_2022-2023.pdf
Harding University,107044,48.59%,67.17%,69.49%,"35.247386, -91.726143",Searcy,AR,,,www.harding.edu/,www.harding.edu/admissions/npc.html,44.18%,55.82%,,16 to 1,0.37%,0.09%,1.35%,5.15%,79.61%,0.09%,3.89%,3.56%,5.89%,0%,0%,0.68%,2.05%,93.52%,0.68%,1.37%,0.34%,1.37%,0%,11.92%,1.50%,0.46%,0%,6.13%,1.39%,0%,12.62%,0%,2.78%,4.28%,5.09%,0%,6.13%,0.35%,0%,0%,6.37%,0.58%,0%,3.70%,0.12%,0%,5.44%,17.25%,0%,0%,0%,0%,0%,1.39%,5.56%,1.27%,0%,0%,3.24%,2.43%,3262,1289,4551,22230,22230,20429,7718,50273,Churches of Christ,Town: Distant,263,,,18,23,27,21,26,31,20,24,28,520,580,640,530,595,660,1183,Business Marketing: 17.25% | Education: 12.62% | Health: 11.92%,Business Marketing: 17.25% | Education: 12.62% | Health: 11.92% | Communication: 6.37% | Computer: 6.13%,164,,,230,,87,372,190,150,936,,156,167,157,285,,102,163,116,104,318,,,562,7,,17,71,156,38,,176,214,,268,256,56,59,,186,,42,,201,,,,126,,,,,,157,74,,,,,118,,234,,,,,,,LIT,51 mins,53.0 mi,51,0.5414,,,,,,,,,,,
Hendrix College,107080,70.33%,72.89%,71.43%,"35.101565, -92.443256",Conway,AR,,,https://www.hendrix.edu/,https://collegenpc.com/hendrixcollege,48.87%,51.13%,,11 to 1,0.54%,0.09%,3.90%,7.52%,68.90%,2.36%,9.43%,5.08%,2.18%,0%,0%,1.10%,3.30%,87.91%,0%,5.49%,1.10%,1.10%,0%,10.26%,5.56%,5.98%,0%,4.27%,1.71%,0%,0%,3.42%,15.38%,0%,11.54%,0%,0%,2.56%,0%,0%,0%,17.09%,0%,4.27%,7.26%,0%,3.85%,4.70%,0%,2.14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1103,9,1112,"$50,550 ","$50,550 ",10299,13200,48230,United Methodist,City: Small (pop. < 100k),,,,22,25,27,23,29,34,24,28,31,530,595,660,560,620,680,1286,Social Science: 17.09% | Biological: 15.38% | Psychology: 11.54%,Social Science: 17.09% | Biological: 15.38% | Psychology: 11.54% | Health: 10.26% | Physical Science: 7.26%,,40,,417,78,,244,,148,938,17,206,221,288,801,,268,,,138,,165,248,293,19,,,,,,,248,144,,528,109,,,,130,,,,331,129,131,253,,60,,,,,156,,122,134,,,,,,,,,,,,LIT,38 mins,36.1 mi,38,0.683,0%,Y,,,98%,"$25,771 ",,,,,
John Brown University,107141,60.61%,70.39%,71.62%,"36.189812, -94.560283",Siloam Springs,AR,,,https://www.jbu.edu/,https://admissions.jbu.edu/register/net-price-calculator,40.19%,59.81%,,15 to 1,1.59%,0.07%,1.81%,1.52%,71.47%,1.96%,7.60%,6.08%,7.89%,2.74%,0%,2.74%,1.37%,82.19%,1.37%,4.11%,2.74%,2.74%,0%,7.31%,2.61%,1.04%,0%,0%,0.26%,0%,4.18%,0%,3.13%,3.13%,11.23%,0%,7.57%,1.04%,0%,0%,2.61%,1.57%,0%,3.92%,0.78%,0%,12.01%,22.72%,0%,0%,0%,0%,0%,5.22%,4.44%,0%,0%,0%,5.22%,0%,1381,685,2066,28924,28924,18641,9554,54964,,Town: Distant,,,,22,27,31,20,24,27,22,26,29,540,603,665,560,608,655,1231,Business Marketing: 22.72% | Visual Performing: 12.01% | Psychology: 11.23%,Business Marketing: 22.72% | Visual Performing: 12.01% | Psychology: 11.23% | Engineering: 7.57% | Health: 7.31%,,,,263,72,158,472,60,168,576,,193,208,267,757,,216,99,294,131,,,,477,17,,,97,212,148,794,270,251,,296,366,,114,,226,,153,146,,,,,,,,,,,,100,,,98,90,,,157,,,,,,,TUL,1 hour 20 mins,82.8 mi,80,0.5287,,,,,,,,,,,
Ouachita Baptist University,107512,59.95%,66.75%,63.36%,"34.126093, -93.052471",Arkadelphia,AR,OBU,,www.obu.edu/,www.obu.edu/finaid/netpricecal.php,42.62%,57.38%,,13 to 1,0.25%,0%,1.15%,7.76%,79.64%,0%,5.73%,3.37%,2.10%,0%,0%,1.89%,1.89%,94.34%,0%,1.89%,0%,0%,0%,7.00%,1.96%,1.12%,0%,1.12%,1.12%,0%,8.96%,0%,13.17%,0%,3.36%,0%,0%,0.28%,0%,0%,8.96%,2.24%,0%,1.96%,1.68%,0%,10.64%,19.05%,0%,5.04%,0%,0%,0%,1.12%,8.12%,0%,0%,0%,3.08%,0%,1572,48,1620,30140,30140,20847,8510,46670,Southern Baptist,Town: Distant,,,,,,,,,,,,,,,,,,,,Business Marketing: 19.05% | Biological: 13.17% | Visual Performing: 10.64%,Business Marketing: 19.05% | Biological: 13.17% | Visual Performing: 10.64% | Education: 8.96% | Communication: 8.96%,,38,,326,76,205,265,460,179,,402,201,216,203,661,,138,223,78,136,438,,,363,18,75,64,77,,49,,,237,,252,178,,,,212,,235,,,,,,,58,,,,,283,125,,266,190,,128,,,,,,,,,LIT,1 hour 8 mins,68.9 mi,68,0.7375,,,,,,,,,,,
Azusa Pacific University,109785,53.28%,71.51%,71.83%,"34.130047, -117.888375",Azusa,CA,,,www.apu.edu/,https://www.apu.edu/undergraduate-admissions/financialaid/calculator/,31.72%,68.28%,,10 to 1,0.33%,0.79%,12.29%,6.25%,30.23%,4.01%,37.19%,5.72%,3.20%,0.46%,0.69%,14.22%,7.34%,61.70%,6.88%,7.34%,0%,1.38%,0%,35.51%,1.80%,0.73%,0%,1.67%,0.13%,0%,0.33%,0%,2.07%,6.73%,11.13%,0%,0.47%,1.13%,0%,0%,3.33%,3.26%,0%,0.87%,0.73%,0%,6.80%,10.99%,0%,0.13%,0%,0%,0.33%,0%,4.86%,3.26%,0%,0%,1.47%,2.27%,3937,4187,8124,41510,41510,24811,9820,61701,Undenominational,Suburb: Large City,263,,,16,21,25,19,22,25,19,22,25,473,556,638,493,561,628,1117,Health: 35.51% | Psychology: 11.13% | Business Marketing: 10.99%,Health: 35.51% | Psychology: 11.13% | Business Marketing: 10.99% | Visual Performing: 6.8% | Humanities: 6.73%,,95,,,,203,199,,379,621,407,356,378,528,361,,,,,235,,,,,58,,,144,25,,,268,324,,,,,144,,276,,61,,,,,,186,,,,,,,,,,,,,,159,,,,,,,ONT,32 mins,24.3 mi,32,0.941,,Y,,,,,,,,,
University of Georgia,139959,68.14%,87.84%,87.24%,"33.956262, -83.374039",Athens,GA,,,www.uga.edu/,https://osfa.uga.edu/sites/default/files/npcalc.htm,42.05%,57.95%,,17 to 1,0.06%,0.08%,11.47%,6.58%,68.34%,1.14%,6.98%,4.23%,1.13%,0.21%,0.04%,8.88%,5.37%,70.43%,7.23%,2.61%,4.65%,0.57%,2.21%,2.94%,1.20%,0.92%,0%,3.09%,1.43%,0%,3.45%,0.91%,8.59%,0.09%,4.73%,2.69%,4.54%,1.03%,0.45%,0%,9.38%,7.30%,0%,4.37%,0.65%,0%,3.32%,27.50%,0%,0.44%,0%,0%,0.72%,4.13%,2.59%,0.80%,0%,0%,0%,0.52%,30032,9952,39984,"$46,986 ","$27,946 ",14995,10452,63405,,City: Midsize (250k > pop. > 100k),49,23,72,28,30,32,32,34,35,29,31,33,630,680,730,640,680,720,1386,Business Marketing: 27.5% | Communication: 9.38% | Biological: 8.59%,Business Marketing: 27.5% | Communication: 9.38% | Biological: 8.59% | Social Science: 7.3% | Psychology: 4.73%,60,,10,139,,551,32,,75,798,11,,52,17,100,,6,19,9,,15,45,7,2,,27,,95,,13,166,43,93,66,14,58,,29,5,101,,13,31,68,86,105,75,19,,,3,18,12,40,,57,56,8,65,113,101,91,,,43,,,,ATL,1 hour 30 mins,81.6 mi,90,0.3998,3.00%,Y,,,5%,"$3,878 ",,,,,https://oir.uga.edu/_resources/files/cds/UGA_CDS_2022-2023.pdf
California Baptist University,110361,37.30%,56.74%,65.46%,"33.929321, -117.425619",Riverside,CA,CBU,,www.calbaptist.edu/,https://calbaptist.studentaidcalculator.com/welcome.aspx,36.51%,63.49%,,19 to 1,0.55%,0.89%,6.34%,6.64%,35.15%,3.34%,39.18%,5.76%,2.16%,0.28%,0.56%,14.53%,6.42%,63.13%,1.68%,10.89%,0%,2.51%,0%,16.36%,1.87%,0.76%,0%,2.68%,0.15%,0%,4.64%,0.45%,4.95%,4.09%,8.83%,0%,7.77%,0.66%,0.91%,0%,4.59%,3.18%,1.16%,1.77%,0.50%,0%,5.20%,15.14%,0%,1.41%,0%,0%,0%,0%,7.62%,2.68%,0%,0%,1.31%,1.31%,8234,3237,11471,37018,37018,21812,10710,56253,Southern Baptist,City: Large (pop. > 250k),,,,,,,,,,,,,,,,,,,,Health: 16.36% | Business Marketing: 15.14% | Psychology: 8.83%,Health: 16.36% | Business Marketing: 15.14% | Psychology: 8.83% | Engineering: 7.77% | Parks Recreation Fitness: 7.62%,192,,,,,24,556,165,659,270,5,307,327,275,669,,247,237,201,205,131,,,142,47,,,,166,174,,141,,,3,400,,,,,,54,,,,,,178,,,,93,,155,146,,,,,,,,,27,,,,,ONT,31 mins,15.2 mi,31,0.6373,,Y,,,,,,,,,https://calbaptist.edu/educational-effectiveness/institutional-research/pdfs/CDS_2021-2022.pdf
Washington University in St. Louis,179867,86.89%,93.12%,95.18%,"38.647929, -90.310604",Saint Louis,MO,WashU,,https://wustl.edu/,https://npc.collegeboard.org/app/washustl,47.17%,52.83%,,7 to 1,0.13%,0.14%,19.12%,8.73%,46.39%,1.92%,11.07%,5.98%,6.52%,0.07%,0.23%,23.47%,3.77%,63.44%,0.51%,3.96%,3.54%,1.00%,0%,0.67%,1.95%,0.87%,0%,8.88%,1.54%,0%,0.41%,0.67%,11.50%,0.10%,8.93%,0%,14.48%,2.52%,2.26%,0%,0.31%,13.81%,0%,7.60%,2.67%,0%,5.60%,12.47%,0%,0.67%,0%,0%,2.10%,0%,0%,0%,0%,0%,0%,0%,7713,8939,16652,"$81,620 ","$81,620 ",27595,17900,90646,,Suburb: Large City,15,13,46,31,33,35,34,35,36,33,34,35,760,780,800,730,750,770,1524,Engineering: 14.48% | Social Science: 13.81% | Business Marketing: 12.47%,Engineering: 14.48% | Social Science: 13.81% | Business Marketing: 12.47% | Biological: 11.5% | Psychology: 8.93%,13,,,28,,2,17,,18,126,12,14,15,37,25,,5,5,68,15,424,14,289,30,,,,18,,5,167,8,38,21,2,10,,,298,20,,,10,23,12,22,13,,,,,,,8,1,28,10,,10,22,27,14,,,4,16,,,STL,17 mins,11.5 mi,17,0.13,24.00%,,Y,Y,3%,"$32,844 ",1-Nov,4-Jan,"December 17, February 14",https://admissions.wustl.edu/apply_site/Pages/First-Year-Student-Application-Calendar.aspx,https://wustl.edu/wp-content/uploads/2023/07/wustl-cds-2022-2023.pdf
California Lutheran University,110413,68.07%,73.78%,68.70%,"34.224566, -118.878924",Thousand Oaks,CA,,,www.callutheran.edu/,https://www.callutheran.edu/financial-aid/tuition-fees/net-price-calculator.html,46.72%,53.28%,,14 to 1,0.23%,0.50%,5.37%,3.90%,39.49%,2.13%,39.18%,6.22%,2.98%,0%,0%,11.70%,5.85%,66.67%,0.58%,12.28%,0.58%,2.34%,0%,0%,1.21%,1.21%,0%,5.56%,0.60%,0%,0%,0.85%,7.86%,3.63%,13.18%,0%,0%,0.85%,0%,0%,12.33%,12.21%,0%,2.30%,1.33%,0%,4.35%,25.27%,0%,0.73%,0%,0%,0%,0%,6.53%,0%,0%,0%,0%,0%,2588,1174,3762,46012,46012,21442,14970,65401,Evangelical Lutheran Church,City: Midsize (250k > pop. > 100k),,,,23,25,27,22,25,28,23,26,28,540,595,650,550,595,640,1200,Business Marketing: 25.27% | Psychology: 13.18% | Communication: 12.33%,Business Marketing: 25.27% | Psychology: 13.18% | Communication: 12.33% | Social Science: 12.21% | Biological: 7.86%,,,,657,330,337,,324,,220,,637,675,666,818,53,,211,240,402,636,414,,672,120,,,,,,556,329,,,307,,,,,,,222,,,,,,131,,,,,,,,,285,,,,,,,106,,,,,LAX,1 hour 0 mins,48.0 mi,60,0.8194,,Y,,,,,,,,,
"California Polytechnic State University, San Luis Obispo",110422,57.04%,85.39%,83.73%,"35.299513, -120.657311",San Luis Obispo,CA,Cal Poly,,calpoly.edu/,https://www.calpoly.edu/net-price-calculator,51.28%,48.72%,,21 to 1,0.12%,0.24%,13.70%,0.69%,53.02%,3.18%,19.44%,7.57%,2.03%,0.46%,0.12%,9.52%,2.21%,72.94%,5.11%,4.41%,4.18%,1.05%,0%,0.60%,1.47%,1.10%,0%,3.26%,0.19%,0%,1.30%,2.55%,4.95%,2.29%,2.88%,10.84%,23.14%,1.73%,4.41%,0%,3.53%,5.88%,0%,2.23%,2.05%,0%,1.30%,16.37%,0%,0.73%,0%,1.10%,0.19%,0%,4.19%,0%,1.75%,0%,0%,0%,21090,1103,22193,"$36,058 ","$29,920 ",20633,16332,85801,,Suburb: Small City,,,110,,,,,,,,,,,,,,,,,Engineering: 23.14% | Business Marketing: 16.37% | Agriculture: 10.84%,Engineering: 23.14% | Business Marketing: 16.37% | Agriculture: 10.84% | Social Science: 5.88% | Biological: 4.95%,73,,55,105,,,,,167,719,,141,152,179,51,,,84,94,,388,,151,217,,,,,,127,496,245,321,115,,175,,212,144,199,,,,87,,140,94,,,,16,,52,,,179,231,60,,,153,186,,,27,,,,SJC,2 hours 53 mins,189 mi,173,0.33,5.70%,,,,28%,"$1,325 ",,,,,https://content-calpoly-edu.s3.amazonaws.com/ir/1/images/CDS_2022-2023%20FINAL%20REVISED%20G1.G5.pdf
"California State University, Stanislaus",110495,18.93%,57.62%,63.84%,"37.52577, -120.852511",Turlock,CA,Stanislaus State,,https://www.csustan.edu/,https://finaid.csustan.edu/netpricecalculator/npcalc.htm,32.93%,67.07%,,20 to 1,0.19%,0.65%,9.30%,2.05%,18.59%,4.30%,58.84%,2.59%,3.49%,0.84%,0.28%,15.60%,5.01%,58.77%,5.85%,11.42%,1.39%,0.84%,0%,7.58%,3.10%,1.85%,0%,3.10%,0.93%,0%,2.94%,0%,4.72%,9.11%,15.76%,1.41%,0%,1.37%,0%,0%,2.94%,11.49%,0%,0.12%,1.09%,0%,2.34%,17.45%,0%,0.36%,0%,0%,0.40%,0%,4.31%,7.62%,0%,0%,0%,0%,9161,1283,10444,19524,19524,6041,11576,58120,,Suburb: Small City,,,,,,,,,,,,,,,,,,,,Business Marketing: 17.45% | Psychology: 15.76% | Social Science: 11.49%,Business Marketing: 17.45% | Psychology: 15.76% | Social Science: 11.49% | Humanities: 9.11% | Security Law Enforcement: 7.62%,,,250,,,,719,403,,,192,596,631,,276,,,,,,,,,507,,,,,,,709,445,,,193,,,,,,,,,,,,,,,,,,,297,,,,,,,,,,98,,,,,OAK,1 hour 29 mins,88.3 mi,89,0.9476,,,,,,,,,,,https://www.csustan.edu/sites/default/files/2023-04/cds_2022-2023.pdf
"California State Polytechnic University, Pomona",110529,28.43%,70.18%,74.03%,"34.057912, -117.821476",Pomona,CA,,,www.cpp.edu/,https://www.cpp.edu/financial-aid/resources/net-price-calculator.shtml,53.62%,46.38%,,28 to 1,0.11%,0.20%,22.11%,2.93%,14.11%,2.56%,50.32%,3.52%,4.15%,0.45%,0.15%,22.47%,3.02%,51.28%,6.03%,10.41%,5.73%,0.45%,0%,0%,1.44%,0.94%,0%,4.15%,0.40%,0%,2.09%,0%,5.12%,2.47%,5.59%,3.84%,15.48%,1.83%,3.24%,0%,3.06%,7.85%,0%,1.51%,1.78%,0%,2.95%,29.37%,0%,0.37%,0%,1.91%,0.43%,1.12%,3.04%,0%,0%,0%,0%,0%,26802,2482,29284,"$40,062 ","$28,182 ",11740,16570,67406,,Suburb: Large City,,,158,,,,,,,,,,,,,,,,,Business Marketing: 29.37% | Engineering: 15.48% | Social Science: 7.85%,Business Marketing: 29.37% | Engineering: 15.48% | Social Science: 7.85% | Psychology: 5.59% | Biological: 5.12%,,,267,429,,,,752,,421,320,623,661,422,311,,,342,,,228,,,557,,,,,,,,,,,657,,,,,,,,,284,,,,,,,59,,107,,,,,,,,,,,104,53,,,,ONT,27 mins,18.8 mi,27,0.6062,,,,,2%,$174 ,,,,,https://www.cpp.edu/data/documents/cpp-facts/cds2022.pdf
